Date,Open,High,Low,Close,Volume,t_point
18-01-2021 20:00,36041,36175,36041,36175,9251,0
18-01-2021 21:00,36181,36295,36181,36293,8798,0
18-01-2021 22:00,36306,36536,36306,36536,8553,0
18-01-2021 23:00,36526,36699,36526,36699,8414,0
19-01-2021 00:00,36699,36846.71484,36699,36806,8724,0
19-01-2021 01:00,36764,37352,36764,37084.43359,9719,0
19-01-2021 02:00,37084,37084,36950,36950,10112,0
19-01-2021 03:00,36949.09375,36949.09375,36622,36622,9757,0
19-01-2021 04:00,36603,36603,36456,36456,9667,0
19-01-2021 05:00,36425,36448,36407,36407,9341,0
19-01-2021 06:00,36386,36728,36386,36728,9528,0
19-01-2021 07:00,36728,37230,36728,37230,9484,0
19-01-2021 08:00,37240,37299,37106,37299,9977,0
19-01-2021 09:00,37308,37460,37150.05859,37150.05859,10257,0
19-01-2021 10:00,37151.01953,37205.8125,37151,37151,10402,0
19-01-2021 11:00,37154,37325,37154,37325,10348,0
19-01-2021 12:00,37365.23438,37365.23438,36861,36861,9599,1
19-01-2021 13:00,36853,37189,36853,37189,9327,0
19-01-2021 14:00,37196.69531,37243,37066.38281,37066.38281,8771,0
19-01-2021 15:00,37069,37376,37069,37376,8533,0
19-01-2021 16:00,37377,37673,37377,37410,8888,0
19-01-2021 17:00,37419,37419,37224,37224,8589,0
19-01-2021 18:00,37215,37215,36532,36532,8776,0
19-01-2021 19:00,36532,36532,36315,36345,9184,0
19-01-2021 20:00,36333,36494,36333,36494,9187,0
19-01-2021 21:00,36493,36793,36493,36519,9341,0
19-01-2021 22:00,36519,36700,36519,36700,9308,0
19-01-2021 23:00,36694,36694,35958,35958,9605,0
20-01-2021 00:00,35915,36382,35915,36382,9615,0
20-01-2021 01:00,36296,36296,36171,36171,8479,0
20-01-2021 02:00,36122,36122,36059.35938,36059.35938,8437,0
20-01-2021 03:00,36050,36050,35022,35022,9240,1
20-01-2021 04:00,35019,35252,35019,35240,10425,0
20-01-2021 05:00,35234,35447,35234,35447,10730,0
20-01-2021 06:00,35432,35493,35190,35190,10732,0
20-01-2021 07:00,35215,35711,35215,35711,10780,0
20-01-2021 08:00,35666.92578,35666.92578,35468,35468,10231,0
20-01-2021 09:00,35481,35481,34772,34772,10225,0
